model,fold_1,fold_2,fold_3,fold_4,fold_5,mean_auc,std_auc,oof_auc
lgb_default,0.8467267793544011,0.8413168548902621,0.8450316073584772,0.8039965986394557,0.8309807256235827,0.8336105131732359,0.015784582668878236,0.8082220951901342
xgb_default,0.8617361071852564,0.840201718872079,0.8440514241068258,0.810530045351474,0.8328939909297052,0.8378826572890681,0.016646146547962894,0.8288843747129019
cb_default,0.8608881225620442,0.8278997087861354,0.8469635627530365,0.8211309523809525,0.8369189342403629,0.8387602561445062,0.014064643742176372,0.8313218029029101
lgb_opt,0.8473839674373904,0.831223808509127,0.850770651324668,0.8246386054421768,0.8422052154195011,0.8392444496265726,0.009854263829754916,0.8370666022432506
xgb_opt,0.8583300356153541,0.8328148305987642,0.8510263513033597,0.8160289115646259,0.8336309523809524,0.8383662162926113,0.014906568286411782,0.837426715528652
cb_opt,0.8494120639945729,0.8413665743305633,0.8423893742453299,0.8293367346938776,0.832624716553288,0.8390258927635263,0.007204431853942168,0.8372412713643587
ensemble_simple_avg,,,,,,,,0.843193632062899
ensemble_rank_avg,,,,,,,,0.8436280364355251
ensemble_weighted_avg,,,,,,,,0.8432786981933089
ensemble_weighted_rank_avg,,,,,,,,0.8436847471891314
ensemble_stacking,,,,,,,,0.8422233110686914
