feature,lgb_importance,xgb_importance,avg_importance
Age,20.4,0.043767684139311314,10.221883842069655
SpeedScore,17.8,0.020057497546076775,8.910028748773039
Sprint_40yd_Position_Type_zscore,15.0,0.01410942361690104,7.5070547118084505
Sprint_40yd,12.8,0.012746681342832744,6.406373340671417
School_te,11.799999999999999,0.00983145262580365,5.904915726312901
PowerIndex,11.2,0.009610918932594359,5.604805459466297
WeightAdjustedSprint,10.0,0.011926141567528248,5.005963070783764
StrengthWeightRatio,10.0,0.008467855164781213,5.004233927582391
Position_te,9.6,0.010944868205115199,4.805472434102557
Weight_Position_Type_diff,9.4,0.010601892368867993,4.705300946184434
Sprint_40yd_Position_Type_diff,9.2,0.013351146830245852,4.606675573415123
Weight_Position_Type_zscore,8.4,0.009727096068672836,4.204863548034337
BenchVertical,8.2,0.009366482845507562,4.104683241422753
Agility_3cone,8.0,0.008814305067062378,4.004407152533531
JumpRatio,7.8,0.008433045470155776,3.904216522735078
Age_missing,7.4,0.29741136729717255,3.8487056836485865
SprintBroadCombo,7.6,0.00869114336092025,3.80434557168046
School_count,7.4,0.00866006885189563,3.704330034425948
TotalAgility,7.4,0.008421950973570347,3.7042109754867854
BMI_Position_Type_zscore,7.0,0.008977562305517495,3.5044887811527587
HeightWeight,6.8,0.009576726704835892,3.404788363352418
Dist_to_cluster_7,6.4,0.008011516067199409,3.2040057580336
Sprint_40yd_Player_Type_zscore,6.200000000000001,0.008269418845884502,3.104134709422943
Dist_to_cluster_4,6.199999999999999,0.008157402859069407,3.1040787014295343
BMI_Position_Type_diff,6.0,0.009910354623571038,3.0049551773117855
BMI_Player_Type_diff,6.0,0.008564177434891462,3.0042820887174457
Dist_to_cluster_0,6.0,0.007732179015874863,3.0038660895079374
Vertical_Jump_Position_Type_zscore,5.8,0.010073298122733831,2.905036649061367
RelativeAthleticism,5.800000000000001,0.008303543669171631,2.904151771834586
AgilityRatio,5.800000000000001,0.007794154807925224,2.903897077403963
Sprint_40yd_Player_Type_diff,5.800000000000001,0.007748887874186039,2.9038744439370934
SprintSq,5.8,0.0070267400005832314,2.9035133700002915
Dist_to_cluster_1,5.6,0.009793735109269619,2.8048968675546346
Dist_to_cluster_5,5.2,0.009217972052283585,2.604608986026142
BMI,4.8,0.00883775542024523,2.4044188777101225
Height_Position_Type_diff,4.8,0.008036270970478654,2.4040181354852392
Dist_to_cluster_2,4.8,0.007781305292155594,2.4038906526460777
Vertical_Jump_Position_Type_diff,4.6,0.012069081654772162,2.306034540827386
Dist_to_cluster_3,4.6,0.009085533325560391,2.30454276666278
School_freq,4.6,0.007318264048080891,2.3036591320240403
Height_Player_Type_diff,4.4,0.011465490330010653,2.2057327451650055
Shuttle,4.4,0.009599525248631835,2.204799762624316
Weight,4.4,0.00928517256397754,2.204642586281989
Year,4.2,0.008769975160248578,2.1043849875801244
Bench_Press_Reps,4.0,0.008582472102716565,2.0042912360513583
Height_Position_Type_zscore,4.0,0.008223012089729309,2.0041115060448647
Weight_Player_Type_diff,4.0,0.007934382651001215,2.0039671913255006
VerticalPerHeight,3.8000000000000003,0.0101446338230744,1.9050723169115373
BMI_Player_Type_zscore,3.8000000000000003,0.008210996864363551,1.904105498432182
WeightSq,3.6,0.00920501205837354,1.8046025060291868
ExplosivenessScore,3.6,0.007189698982983828,1.803594849491492
Year_cos,3.4,0.008305327850393951,1.704152663925197
Position_encoded,3.4000000000000004,0.008299965760670602,1.7041499828803355
Position_count,3.4000000000000004,0.008131822920404375,1.7040659114602024
Dist_to_cluster_6,3.2,0.007834042189642787,1.6039170210948215
Broad_Jump,2.8000000000000003,0.008174190064892173,1.4040870950324462
Vertical_Jump_Player_Type_zscore,2.8,0.006093361764214933,1.4030466808821074
Weight_Player_Type_zscore,2.8,0.006040649022907019,1.4030203245114534
Vertical_Jump,2.6,0.0050617726519703865,1.3025308863259852
Vertical_Jump_Player_Type_diff,2.4000000000000004,0.008568699355237186,1.2042843496776188
Height_Player_Type_zscore,2.2,0.012603317038156092,1.1063016585190781
Position_Type_te,2.0,0.011052429210394621,1.0055262146051973
Player_Type_te,1.8,0.004471469786949456,0.9022357348934748
Height,1.6,0.0066099928226321936,0.8033049964113161
HeightSq,1.6,0.0048234183341264725,0.8024117091670633
Cluster_ID,1.4000000000000001,0.007930805557407439,0.7039654027787038
Year_sin,1.4,0.006646919064223766,0.7033234595321118
Weight_Player_Type_std,1.4000000000000001,0.0,0.7000000000000001
Weight_Position_Type_std,1.2000000000000002,0.010715538752265275,0.6053577693761327
